iter	Passed	Remaining
798	4700	1182
799	4713	1178
800	4726	1174
801	4753	1173
802	4765	1169
803	4787	1167
804	4798	1162
805	4815	1159
806	4830	1155
807	4846	1151
808	4882	1152
809	4948	1160
810	4962	1156
811	5012	1160
812	5075	1167
813	5121	1170
814	5319	1207
815	5354	1207
816	5382	1205
817	5420	1206
818	5480	1211
819	5551	1218
820	5568	1213
821	5581	1208
822	5609	1206
823	5624	1201
824	5652	1199
825	5671	1194
826	5694	1191
827	5706	1185
828	5739	1183
829	5748	1177
830	5778	1175
831	5789	1168
832	5797	1162
833	5805	1155
834	5817	1149
835	5837	1145
836	5858	1140
837	5885	1137
838	5907	1133
839	5918	1127
840	5927	1120
841	5938	1114
842	5966	1111
843	5981	1105
844	5998	1100
845	6011	1094
846	6026	1088
847	6037	1082
848	6054	1076
849	6072	1071
850	6164	1079
851	6173	1072
852	6193	1067
853	6206	1061
854	6217	1054
855	6227	1047
856	6236	1040
857	6273	1038
858	6287	1032
859	6297	1025
860	6308	1018
861	6316	1011
862	6324	1003
863	6333	996
864	6341	989
865	6349	982
866	6361	975
867	6368	968
868	6378	961
869	6387	954
870	6394	947
871	6403	940
872	6411	932
873	6418	925
874	6424	917
875	6431	910
876	6437	902
877	6444	895
878	6452	888
879	6464	881
880	6472	874
881	6481	867
882	6496	860
883	6506	853
884	6514	846
885	6523	839
886	6530	831
887	6539	824
888	6546	817
889	6555	810
890	6564	803
891	6572	795
892	6580	788
893	6588	781
894	6596	773
895	6604	766
896	6612	759
897	6620	752
898	6629	744
899	6636	737
900	6643	729
901	6652	722
902	6660	715
903	6669	708
904	6676	700
905	6684	693
906	6692	686
907	6700	678
908	6716	672
909	6727	665
910	6739	658
911	6747	651
912	6757	643
913	6764	636
914	6771	629
915	6777	621
916	6783	614
917	6791	606
918	6798	599
919	6806	591
920	6814	584
921	6822	577
922	6828	569
923	6901	567
924	6979	565
925	7069	564
926	7085	558
927	7095	550
928	7104	542
929	7113	535
930	7122	527
931	7129	520
932	7136	512
933	7144	504
934	7151	497
935	7158	489
936	7168	481
937	7174	474
938	7182	466
939	7189	458
940	7198	451
941	7208	443
942	7215	436
943	7224	428
944	7231	420
945	7243	413
946	7252	405
947	7261	398
948	7271	390
949	7280	383
950	7287	375
951	7293	367
952	7301	360
953	7308	352
954	7315	344
955	7322	337
956	7330	329
957	7336	321
958	7350	314
959	7356	306
960	7363	298
961	7370	291
962	7376	283
963	7383	275
964	7390	268
965	7397	260
966	7404	252
967	7411	244
968	7418	237
969	7425	229
970	7432	221
971	7439	214
972	7445	206
973	7452	198
974	7458	191
975	7464	183
976	7471	175
977	7478	168
978	7485	160
979	7492	152
980	7500	145
981	7507	137
982	7514	129
983	7521	122
984	7528	114
985	7535	106
986	7542	99
987	7552	91
988	7562	84
989	7569	76
990	7577	68
991	7584	61
992	7591	53
993	7598	45
994	7605	38
995	7612	30
996	7619	22
997	7627	15
998	7634	7
999	7641	0
